D_name,count,S_chn_ppp_20,S_road_dis,S_busdis,S_subdis,S_jun_dis,S_shp_Large volume,S_shp_country,S_shp_crowd,S_shp_empty,S_shp_road,S_shp_squire,S_fun_交通用地,S_fun_公共服务,S_fun_商业用地,S_fun_基础设施用地,S_fun_居住用地,S_fun_工业用地,S_fun_空地,S_fun_绿地,S_shpstd,S_funstd,S_junction_num,S_marketjoin,S_busjoin,S_length,bw_1,bw_2,bw=3,bw=4,bw=5,bw=6,bw=7,bw=8
三中,607,30.3781,8.496819,57.7422,491.615,63.8362,65.09562520740756,0.0,34.90437674227362,0.0,0.0,0.0,0.0,37.28238053797373,18.536455485076527,1.442501395365186,19.13381651271803,0.0,4.083536961454932,3.217933850742875,27.52849144160939,13.379886681943647,29.0,380,11,9535.62886879525,23.47346933,75.86453615,135.1782718,195.6106802,255.4111972,313.4176798,368.1307406,418.1916747
三十四中,237,26.005,6.286009,141.456,738.084,33.5908,2.444241970581326,0.0,67.60524366966744,0.0,0.0,29.950516639242363,0.0,17.042406478319457,0.416290378824378,0.0,54.97366007194374,0.0,18.48123583314286,0.0,27.59278889403421,19.35058554765775,61.0,157,5,15519.318774396235,9.062336431,32.07393788,74.01631104,133.8004529,199.982261,265.1001735,325.8695355,380.8410813
三环路口民富园,433,28.0051,28.849912,68.1066,681.928,100.452,0.0,0.0,47.07012577659342,0.0,0.0,52.92987711491202,0.856113769494437,6.892100200958823,26.769273381434576,0.0,20.13263966350521,0.0,8.06415518433694,13.586698249946426,25.886297027477024,9.943053347734988,6.0,316,5,5966.984410700653,11.30176987,38.89843823,81.78351137,143.7379969,217.236106,291.676591,360.3390618,420.4621684
上好佳,25,30.3781,28.859387,85.9173,2739.72,157.391,92.05256940030354,0.0,7.947433235159133,0.0,0.0,0.0,2.49234301764571,6.226294462205277,4.168501395079006,0.0,20.405731337237608,39.758089390123,0.854222263449497,4.49784041924763,37.067965883521545,13.6906406501139,1.0,8,2,5816.910023104048,9.321234971,35.58539397,69.29084633,113.4168272,165.5026996,220.5661885,274.909923,326.3727162
世茂东都,113,28.0051,12.891624,172.618,1089.03,33.7274,87.28769550137909,0.0,12.712306778894757,0.0,0.0,0.0,0.0,2.511051206706742,0.0,0.159600764259167,57.732642115007295,15.783474718818038,5.891981919566343,0.0,34.96877975253473,19.93241142399316,3.0,57,2,1514.93371002474,5.935433913,37.15076305,90.68200711,157.6791971,231.4662625,304.5492613,371.5730567,430.1812207
东三区,238,28.0051,57.981758,123.694,430.341,139.466,0.0,0.0,45.5665122859575,0.0,0.0,54.433490264498175,0.0,64.34201442296224,2.93751388565834,0.0,0.048290783814099,0.0,0.0,12.87768571402924,25.97169672008233,22.39338408045927,8.0,66,6,8142.392274347837,16.53798385,35.16975079,49.03858857,66.58066841,92.98773397,128.9871704,172.7210846,220.8707961
东三区东区,167,28.0051,56.594792,133.274,340.351,187.618,0.0,0.0,40.782455232432255,0.0,0.0,59.21754759570835,0.0,62.17262474204868,0.558737712154572,0.0,0.439199901288808,0.0,0.0,16.62175203455254,26.469831269191364,21.864424179582773,9.0,59,6,8682.084546419668,16.67842423,35.03718949,48.59713466,65.69885492,91.52845251,126.8675949,169.9720762,217.6236076
东二区,149,28.0051,5.498192,119.042,537.543,16.2227,2.412384415831111,0.0,52.40935588160729,0.0,0.0,45.17826102565908,0.0,57.72998885005843,7.903206298619739,0.0,0.0,0.0,0.276005563569807,15.532384394416487,25.007873724198863,20.026596434982903,8.0,86,7,7499.912821133405,16.10753293,35.07335311,49.41768525,67.65050451,94.88924133,131.7756136,176.317265,225.08394
东华小学,888,30.3781,12.197521,140.955,545.313,27.0694,52.11873956907937,0.0,47.881262626295054,0.0,0.0,0.0,0.193650107091936,7.901193844779356,12.982202297003518,0.0,46.77910596306528,0.0,0.879672033983018,17.57976957289184,25.85463821101329,16.02593032649312,6.0,209,12,9290.306906073743,19.66449413,69.26400649,128.499115,190.5828401,252.2228076,311.5933815,367.1873581,417.7901034
东南郡,47,28.0051,5.831474,88.7054,943.704,74.6624,45.5659681881908,0.0,0.0,0.0,23.560186024699124,30.87384796902444,0.0,0.156962996950925,6.367163732339251,0.0,12.805144862829644,0.0,0.143511559730854,17.734711658261602,19.585032915279623,7.030830379212182,2.0,88,5,3426.517491960532,4.087049676,13.9367421,39.11947358,83.03792402,139.9306991,203.184548,266.9833012,327.2924076
